,Title,Date,"Community (city,town, ward)",LGA,State,Total Deaths,Boko Haram (P),State Actor (P),Sectarian Actor (excluding BH) (P),Other Armed Actor (P),Kidnapper (P),Robber (P),Other (P),Election-related Actor (P),Cameroon State Actor (P),Boko Haram (V),State Actor (V),Sectarian Actor (V),Other Armed Actor (V),Political Actor (V),Kidnapper (V),Kidnapee (V),Robber (V),Journalist (V),Civilian (V),Election-related Actor (V),Cameroon State Actor,Bomb,Gun,Machete,Suicide Bombing,Other Weapon,TK,Drinking Establishment,Goverment Building,Church,Mosque,Bank,School,Other Location,Notes,Sources 1,Sources 2,Sources 3,Latitude,Longitude,full place name
1951,Boko Haram kill eight in northern Nigeria attack,4/9/2014,Gwaram Sabuwa,Gwaram,Jigawa,8.0,Boko Haram,State Actor,,,,,,,,,7.0,,,,,,,,1.0,,,Bomb,Gun,,,,,,Government Building,,,Bank,,Other,Other location: an Islamic court,http://reliefweb.int/report/nigeria/islamist-gunmen-kill-eight-northern-nigeria-attack-police,http://news2.onlinenigeria.com/news/general/348292-terrorists-bomb-police-station-court-bank-in-jigawa-state.html,,#ERROR! ( Service invoked too many times for one day: geocode. (line 10).),#ERROR! ( Service invoked too many times for one day: geocode. (line 27).),"Gwaram, Jigawa, Nigeria"
1974,"Gunmen attack Bauchi school staff quarters, kill 5-year-old",4/20/2014,Yana,Shira,Bauchi,1.0,,,,Other Armed Actor,,,,,,,,,,,,,,,1.0,,,Bomb,Gun,,,Other,,,Government Building,,,Bank,School,,"razed a police station, three telecom masts, a commercial bank, vehicles and several houses in the town; destroyed the vault of a bank",http://www.punchng.com/news/gunmen-attack-bauchi-school-staff-quarters-kill-5-year-old/,http://www.nigeriaintel.com/2014/04/21/gunmen-attack-ggss-staff-quarters-in-bauchi-kill-5-year-old-in-bauchi/,http://reliefweb.int/report/nigeria/nigeria-gunmen-raze-teachers-residence-girls-school,11.488674,10.057253,"Shira, Bauchi, Nigeria"
1981,44 killed as Boko Haram attacks military base,4/25/2014,Bulanbuli,Konduga,Borno,44.0,Boko Haram,State Actor,,,,,,,,40.0,4.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://www.punchng.com/news/44-killed-as-boko-haram-attacks-military-base/,http://www.premiumtimesng.com/news/159468-boko-haram-40-terrorists-4-soldiers-killed-battle-near-sambisa-forest-dhq.html?utm_source=rss&utm_medium=rss&utm_campaign=boko-haram-40-terrorists-4-soldiers-killed-battle-near-sambisa-forest-dhq,http://www.aljazeera.com/news/africa/2014/04/dozens-killed-nigeria-clashes-2014425211344416299.html,#ERROR! ( Service invoked too many times for one day: geocode. (line 10).),#ERROR! ( Service invoked too many times for one day: geocode. (line 27).),"Konduga, Borno, Nigeria"
1996,"Boko Haram Militants Attack Cameroonian Barracks, Kill Two Officers And Free Detained Members",5/5/2014,Kousséri,Logone et Chari,Extrême-Nord,2.0,Boko Haram,,,,,,,,,,2.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,"Actually occured in Kousseri, Cameroon across the border",http://www.naharnet.com/stories/en/129278-boko-haram-blamed-for-deadly-attack-on-cameroon-police,http://www.voanews.com/content/gunmen-free-suspected-boko-haram-militants-in-cameroon/1907869.html,http://af.reuters.com/article/nigeriaNews/idAFL6N0NR3KE20140505?feedType=RSS&feedName=nigeriaNews,12.0699501,15.03240013,"Kousseri, Cameroon"
1997,6 killed as gunmen attack Kaduna police post,5/6/2014,Fadan Karshi,Sanga,Kaduna,6.0,,,,Other Armed Actor,,,,,,,2.0,,,,,,,,4.0,,,,Gun,,,,,,Government Building,,,,,,,http://nationalmirroronline.net/new/6-killed-as-gunmen-attack-kaduna-village/,http://www.premiumtimesng.com/news/160330-six-feared-killed-gunmen-attack-kaduna-police-post.html?utm_source=rss&utm_medium=rss&utm_campaign=six-feared-killed-gunmen-attack-kaduna-police-post,http://www.punchng.com/news/gunmen-attack-kaduna-police-station-kill-five/,9.345270157,8.606010437,"Sanga, Kaduna, Nigeria"
2068,Boko Haram Fighters Overwhelm Soldiers In Madagali LGA In Adamawa State,6/5/2014,Kwabula,Madagali,Adamawa,5.0,Boko Haram,State Actor,,,,,,,,,1.0,,,,,,,,5.0,,,,Gun,,,,,,Government Building,Church,,,,,"after killing several civilians in Kwabula, they laid siege on the Nigerian army outpost in the area, just as the soldiers, backed by an Armored Personal Carrier moved to counter the militants in Kwabula; Three other villagers died in Madagali when a Nigerian airforce jet drop a bomb on them as they put out the fire at the church",http://saharareporters.com/news-page/scores-killed-boko-haram-fighters-overwhelm-soldiers-madagali-lga-adamawa-state,http://www.cnn.com/2014/06/05/world/africa/boko-haram-village-raids/,,10.80249977,13.45289993,"Madagali, Adamawa, Nigeria"
2075,Female suicide bomber hits Nigerian barracks,6/8/2014,,Gombe,Gombe,2.0,Boko Haram,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,Suicide Bombing,,,,Government Building,,,,,,outside military barracks; soldiers stopped her before she could get inside,http://www.reuters.com/places/africa/article/2014/06/08/us-nigeria-violence-idUSKBN0EJ0L720140608,http://www.punchng.com/news/two-die-in-gombe-army-barracks-bombing/,,10.29314995,11.16759968,"Gombe, Gombe, Nigeria"
2079,"Again, explosion rocks Rivers high court",6/9/2014,,Ahoada East,Rivers,0.0,,,,,,,,Election-related Actor,,,,,,,,,,,,0.0,,Bomb,,,,,,,Government Building,,,,,,,http://www.punchng.com/news/again-explosion-rocks-rivers-high-court/,http://news2.onlinenigeria.com/news/general/359435-twin-bomb-blasts-hits-reported-in-rivers.html,,5.081930161,6.650380135,"Ahoada East, Rivers, Nigeria"
2084,Police Repel Boko Haram Attack In Kano,6/11/2014,Sumaila,Sumaila,Kano,0.0,Boko Haram,State Actor,,,,,,,,0.0,0.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,"Boko Haram besieged the police station and started firing, but the police officers on duty did not waste time in firing back, finally repelling the attackers",http://saharareporters.com/news-page/police-repel-boko-haram-attack-kano,http://news2.onlinenigeria.com/news/crime/359648-gunmen-attack-police-station-in-kano.html,,11.52999973,8.956819534,"Sumaila, Kano, Nigeria"
2110,"Boko Haram attacks military post, kills 16 soldiers, loses 25 of their own",6/24/2014,Bulabulin,Damboa,Borno,41.0,Boko Haram,State Actor,,,,,,,,25.0,16.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,attacked a military post,http://www.punchng.com/news/bharam-kills-16-soldiers-in-borno/,http://saharareporters.com/news-page/boko-haram-kills-12-soldiers-loses-25-members-borno,,11.14820004,12.7560997,"Damboa, Borno, Nigeria"
2129,Boko Haram Burn Down Police Station in Borno,6/30/2014,,Shani,Borno,0.0,Boko Haram,,,,,,,,,,,,,,,,,,0.0,,,Bomb,Gun,,,,,,Government Building,,,,,Other,"targeting the Caretaker Chairman of the council, Alhaji Modu Walama, who was reportedly hiding in the police station",http://saharareporters.com/news-page/boko-haram-burn-down-police-station-borno,http://dailypost.ng/2014/06/30/boko-haram-invades-shani-hunt-lg-boss-razes-police-station/,,10.21794987,12.06299019,"Shani, Borno, Nigeria"
2137,"53 insurgents, 12 soldiers, 4 police, 4 civilians killed as Boko Haram attacks Nigerian military formation",7/4/2014,,Damboa,Borno,73.0,Boko Haram,State Actor,,,,,,,,53.0,16.0,,,,,,,,4.0,,,,Gun,,,,,,Government Building,,,,,,the insurgents stormed the troops’ bases and police locations while most of the troops were out on patrol of surrounding villages,http://www.premiumtimesng.com/news/164450-50-insurgents-6-soldiers-killed-as-boko-haram-attacks-nigerian-military-formation-dhq.html,http://saharareporters.com/2014/07/05/53-terrorists-die-troops-location-come-under-attack-%E2%80%A6-4-arrested-explosives-hidden-truck,http://www.nigerianeye.com/2014/07/over-50-boko-haram-members-12-soldiers.html,11.14820004,12.7560997,"Damboa, Borno, Nigeria"
2141,Suspected Boko Haram Islamists kill 7 in northeast Nigeria,7/6/2014,Krenuwa,Marte,Borno,12.0,Boko Haram,State Actor,,,,,,,,5.0,,,,,,,,,7.0,,,,Gun,,,,,,Government Building,,,,,Other,attacked a police station and military camp; 1 vigilante was among those killed,http://reliefweb.int/report/nigeria/suspected-boko-haram-islamists-kill-7-northeast-nigeria-witnesses,,,12.24120045,13.86950016,"Marte, Borno, Nigeria"
2143,"Gunmen Sack Police Post, Cart Away Arms",7/7/2014,Igumale,"
",Benue,0.0,,,,Other Armed Actor,,,,,,,0.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,attacked police station and carted away arms,http://www.thisdaylive.com/articles/gunmen-sack-police-post-cart-away-arms/182944/,,,7.334708214,8.740102768,"
, Benue, Nigeria"
2150,Boko Haram Attack Military Post in Cameroon,7/12/2014,Bonderi,Mayo Sava,Extrême-Nord,0.0,Boko Haram,State Actor,,,,,,,,,0.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,"armed militants opened fire at soldiers in the border town of Bonderi, located in Cameroon's Far North region",http://english.farsnews.com/newstext.aspx?nn=13930421001126,,,5.68547678,12.7228775,"Bonderi, Cameroon"
2184,"Gunmen kill 4 soldiers, 2 others in Adamawa",7/27/2014,Garkida,Gombi,Adamawa,6.0,Boko Haram,State Actor,,,,,,,,,4.0,,,,,,,,2.0,,,,Gun,,,,,,Government Building,Church,,,,Other,,http://www.punchng.com/news/gunmen-kill-four-soldier-46-others-in-adamawa/,http://www.premiumtimesng.com/news/top-news/165723-boko-haram-kills-2-soldiers-4-others-in-adamawa.html?utm_source=rss&utm_medium=rss&utm_campaign=boko-haram-kills-2-soldiers-4-others-in-adamawa#sthash.3GHaOksJ.CVUmhiHB.dpbs,,9.358860016,12.54586983,"Gombi, Adamawa, Nigeria"
2188,"Boko Haram Militants Kill 8 In Yobe State, Destroy Vital Bridge",7/28/2014,Katarko,Gujba,Yobe,8.0,Boko Haram,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,Government Building,,,,,Other,attacked military base and blew up Katarko Bridge,http://saharareporters.com/2014/07/29/boko-haram-militants-kill-8-yobe-state-destroy-vital-bridge,http://www.punchng.com/news/16-die-as-troops-rescue-cameroons-vice-pms-wife/,http://www.premiumtimesng.com/news/top-news/165755-boko-haram-kills-8-bombs-bridge-in-yobe.html?utm_source=rss&utm_medium=rss&utm_campaign=boko-haram-kills-8-bombs-bridge-in-yobe#sthash.XWYIJnk5.nptJjU55.dpbs,11.50006008,11.93356037,"Gujba, Yobe, Nigeria"
2204,"Boko Haram takes over Gwoza, new Emir’s whereabouts unknown",8/6/2014,,Gwoza,Borno,24.0,Boko Haram,,,,,,,,,,,,,,,,,,24.0,,,,Gun,,,,,,Government Building,Church,,,,Other,"actually number of casualties unknown, but multiple sources say ""dozens""",https://www.premiumtimesng.com/news/166154-boko-haram-takes-over-gwoza-new-emirs-whereabouts-unknown.html?utm_source=rss&utm_medium=rss&utm_campaign=boko-haram-takes-over-gwoza-new-emirs-whereabouts-unknown#sthash.WEevYfxB.dpbs,http://www.ibtimes.co.uk/boko-haram-nigeria-insurgency-dozens-killed-slaughter-northeastern-town-gwoza-1460132,http://news.xinhuanet.com/english/africa/2014-08/07/c_133539996.htm,11.08539963,13.69190025,"Gwoza, Borno, Nigeria"
2205,"Boko Haram Kill 3 Gendarmes, Nine Civilians, And Abduct District Head & Two Sons in Cameroon",8/6/2014,,Bama,Borno,12.0,Boko Haram,,,,,,,,,,3.0,,,,,3.0,,,9.0,,,,Gun,,,,,,Government Building,,,,,Other,"actually in Zigague, Cameroon; also kidnapped the district head and two of his sons",http://www.bbc.com/news/world-africa-28684302,http://af.reuters.com/article/nigeriaNews/idAFL6N0QC6AF20140806?feedType=RSS&feedName=nigeriaNews,http://saharareporters.com/2014/08/07/boko-haram-kill-3-gendarmes-nine-civilians-and-abduct-district-head-and-two-sons-cameroon,11.52079964,13.68050003,"Bama, Borno, Nigeria"
2226,Boko Haram Militants Overrun Prestigious Mobile Police Training College In Gwoza,8/20/2014,,Gwoza,Borno,28.0,Boko Haram,,,,,,,,,,28.0,,,,,,,,,,,Bomb,Gun,,,,,,Government Building,,,,,,Stormed the police college with 5 armored tanks they had stolen earlier. BH blew up an armored tank at the entrance before entering.,http://saharareporters.com/2014/08/20/boko-haram-militants-overrun-prestigious-mobile-police-training-college-gwoza,http://www.bbc.com/news/world-africa-28884665,http://www.punchng.com/news/gwoza-police-rescue-seven-more-personnel/,11.08539963,13.69190025,"Gwoza, Borno, Nigeria"
2232,Boko Haram Insurgents Overrun Madagali Local Government in Adamawa State                              ,8/23/2014,,Madagali,Adamawa,0.0,Boko Haram,,,,,,,,,,0.0,,,,,,,,,,,Bomb,Gun,,,,,,Government Building,,,,,,,http://saharareporters.com/2014/08/23/boko-haram-insurgents-overrun-madagali-local-government-adamawa-state,http://www.newstimeafrica.com/archives/35123,http://www.punchng.com/news/adamawa-imposes-24-hour-curfew-on-madagali/,10.80249977,13.45289993,"Madagali, Adamawa, Nigeria"
2236,Boko Haram recaptures Gamboru-Ngala,8/25/2014,Gamboru-Ngala,Ngala,Borno,40.0,Boko Haram,,,,,,,,,,,,,,,,,,40.0,,,Bomb,Gun,,,,,,Government Building,,,,,,"""scores killed""",http://www.punchng.com/news/boko-haram-recaptures-gamboru-ngala/,http://www.irishsun.com/index.php/sid/225083379/scat/2411cd3571b4f088,http://ireports-ng.com/2014/08/25/boko-haram-takes-over-gamboru-ngala-in-borno-as-480-soldiers-flee-into-cameroon-our-troops-missed-their-way-across-border-dhq/,12.36865044,14.20637989,"Ngala, Borno, Nigeria"
2254,Scores killed as Boko Haram insurgents overrun Nigerian town,9/2/2014,,Bama,Borno,180.0,Boko Haram,State Actor,,,,,,,,,,,,,,,,,180.0,,,,Gun,,,,,,Government Building,,,,,,"In a bungled air strike, several Nigerian troops were killed at the Bama armoury by a fighter jet targeting the insurgents",http://af.reuters.com/article/nigeriaNews/idAFL5N0R31IQ20140902?feedType=RSS&feedName=nigeriaNews&sp=true,http://www.punchng.com/news/boko-haram-takes-over-bama-town-in-borno/,http://www.punchng.com/news/bama-death-toll-rises-to-180/,11.52079964,13.68050003,"Bama, Borno, Nigeria"
2295,"Police repel attack on station  in Kogi, launch manhunt for attackers with 
gunshot wound",9/21/2014,Adogo,Ajaokuta,Kogi,0.0,,State Actor,,Other Armed Actor,,,,,,,,,0.0,,,,,,,,,Bomb,Gun,,,,,,Government Building,,,,,,,https://www.premiumtimesng.com/regional/168471-police-repel-attack-on-station-in-kogi-launch-manhunt-for-attackers-with-gunshot-wound.html#sthash.1Ehy1fBj.dpbs,http://www.punchng.com/news/gunmen-attack-kogi-police-station-with-dynamites/,,7.476290226,6.696990013,"Ajaokuta, Kogi, Nigeria"
2334,"Hoodlums attack Edo Assembly quarters, Oshiomhole carpets police",10/11/2014,Benin,Oredo,Edo,0.0,,,,,,,,Election-related Actor,,,,,,,,,,,,0.0,,,Gun,,,,,,Government Building,,,,,Other,,http://www.punchng.com/news/hoodlums-attack-edo-assembly-quarters-oshiomhole-carpets-police/,http://www.punchng.com/news/armed-thugs-invade-edo-lawmakers-quarters/,http://www.nigeriaintel.com/2014/10/12/terror-reigns-in-edo-armed-men-invade-legislative-quarters-lawmakers-escape-death/,6.272409916,5.583789825,"Oredo, Edo, Nigeria"
2360,Thugs attack NLC chairman in Rivers,10/22/2014,,Port Harcourt,Rivers,0.0,,,,Other Armed Actor,,,,Election-related Actor,,,,,,,,,,,,0.0,,,,,,,,,Government Building,,,,,,,http://www.punchng.com/news/thugs-attack-nlc-chairman-in-rivers/,,,4.801559925,7.025010109,"Port Harcourt, Rivers, Nigeria"
2373,Three killed as Ondo residents protest boy’s murder,10/25/2014,Igbotako,Okitipupa,Ondo,5.0,,,,,,,Other,,,,,,,,,,,,3.0,,,,Gun,,,,,,Government Building,,,,,,,http://www.punchng.com/news/three-killed-as-ondo-residents-protest-boys-murder/,,,6.500559807,4.776760101,"Okitipupa, Ondo, Nigeria"
2376,"Nasarawa youth attack Maku, Ewuga, others, burn car",10/26/2014,,Nasarawa Egon,Nasarawa,0.0,,,,,,,,Election-related Actor,,,,,,,,,,,,0.0,,,,,,,,,Government Building,,,,,Other,,https://www.premiumtimesng.com/news/headlines/170166-nasarawa-youth-attack-maku-ewuga-others-burn-car.html,,,8.708720207,8.539509773,"Nasarawa Egon, Nasarawa, Nigeria"
2377,"Boko Haram invades Borno town, razes 300 vehicles",10/27/2014,,Kukawa,Borno,3.0,Boko Haram,,,,,,,,,,,,,,,,,,3.0,,,Bomb,Gun,,,,,,Government Building,,,,,Other,,http://www.punchng.com/news/boko-haram-invades-borno-town-raze-300-vehicles/,http://www.vanguardngr.com/2014/10/several-killed-in-suspected-boko-haram-attack-lg-boss/,,12.92539978,13.55990028,"Kukawa, Borno, Nigeria"
2380,"Boko Haram Seize Mubi, Sack Army Headquarters",10/29/2014,Mubi,Mubi North,Adamawa,24.0,Boko Haram,,,,,,,,,,,,,,,,,,24.0,,,,Gun,,,,,,Government Building,,,,,Other,"""dozens killed""",http://af.reuters.com/article/nigeriaNews/idAFL5N0SP5FO20141030?feedType=RSS&feedName=nigeriaNews&sp=true,http://www.punchng.com/news/soldiers-flee-as-boko-haram-invades-mubi/,https://www.premiumtimesng.com/news/headlines/170329-update-boko-haram-seizes-mubi-kills-many.html,10.26494026,13.2697897,"Mubi North, Adamawa, Nigeria"
2385,"Robbers Attack Police Station, Bank in Ekiti",10/31/2014,,Ado Ekiti,Ekiti,0.0,,,,,,Robber,,,,,,,,,,,,,0.0,,,,Gun,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201411010019.html,,,7.632319927,5.217870235,"Ado Ekiti, Ekiti, Nigeria"
2394,"Boko Haram kills 13 in Gombe, raids French factory",11/4/2014,Nafada and Ashaka,Funakaye,Gombe,13.0,Boko Haram,,,,,,,,,,2.0,,,,,,,,11.0,,,Bomb,Gun,,,,,,Government Building,,,,,Other,stole dynamite from the factory,https://www.premiumtimesng.com/news/top-news/170570-boko-haram-on-rampage-in-gombe-attacks-police-station.html,http://www.punchng.com/news/boko-haram-kills-soldiers-cleric-10-others-in-gombe/,http://af.reuters.com/article/nigeriaNews/idAFL6N0SW3B520141106?feedType=RSS&feedName=nigeriaNews,10.84821033,11.43591976,"Funakaye, Gombe, Nigeria"
2416,"Boko Haram invades Gombi, Adamawa",11/13/2014,,Gombi,Adamawa,0.0,Boko Haram,,,,,,,,,,,,,,,,,,0.0,,,,Gun,,,,,,Government Building,,,,,Other,,http://www.vanguardngr.com/2014/11/boko-haram-invades-two-towns-adamawa/,,,9.358860016,12.54586983,"Gombi, Adamawa, Nigeria"
2417,"Boko Haram invades Hong, Adamawa",11/13/2014,,Hong,Adamawa,0.0,Boko Haram,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,Government Building,,,,,,,http://www.vanguardngr.com/2014/11/boko-haram-invades-two-towns-adamawa/,,,10.23279953,12.93529987,"Hong, Adamawa, Nigeria"
2418,Boko Haram seizes Chibok,11/13/2014,,Chibok,Borno,30.0,Boko Haram,,,,,,,,,,,,,,,,,,30.0,,,,Gun,,,,,,Government Building,,,,,Other,,http://www.premiumtimesng.com/news/top-news/171151-boko-haram-seizes-chibok.html,http://www.punchng.com/news/boko-haram-militants-capture-chibok-again/,http://dailypost.ng/2014/11/15/boko-haram-insurgents-take-school-slaughter-three-restrict-movement-hawul/,10.8685503,12.84770012,"Chibok, Borno, Nigeria"
2419,Angry youth burn district head’s office over suspension of Imam,11/14/2014,,Yola South,Adamawa,0.0,,,,,,,Other,,,,,,,0.0,,,,,,,,,,,,Other,,,Government Building,,,,,,,http://www.premiumtimesng.com/regional/nnorth-east/171162-boko-haram-angry-youth-burn-district-heads-office-suspension-imam.html,,,9.266759872,12.44752979,"Yola South, Adamawa, Nigeria"
2428,Tension In Yola As Boko Haram Invades Hong,11/16/2014,Hong,Hong,Adamawa,24.0,Boko Haram,,,,,,,,,,,,,,,,,,24.0,,,,Gun,,,Other,,,Government Building,,,,,,"""dozens feared killed""",http://www.thisdaylive.com/articles/boko-haram-seizes-another-council-headquarters-in-adamawa/194213/,http://leadership.ng/news/390548/tension-yola-boko-haram-invades-hong,http://sunnewsonline.com/new/?p=91134,10.23279953,12.93529987,"Hong, Adamawa, Nigeria"
2435,Youth in Barkin Ladi protest killing by soldier,11/17/2014,,Barkin Ladi,Plateau,0.0,,State Actor,,,,,Other,,,,,,,,,,,,0.0,,,,Gun,,,Other,,,Government Building,,,,,,,http://www.dailytrust.com.ng/daily/news/39684-youth-in-barkin-ladi-protest-killing-by-soldier,http://www.punchng.com/news/soldiers-kill-plateau-security-agent/,,9.53594017,8.905449867,"Barkin Ladi, Plateau, Nigeria"
2436,Violence in Ede over killing of gang leader,11/17/2014,,Ede South,Osun,1.0,,,,Other Armed Actor,,,,,,,,,1.0,,,,,,,,,,,,,Other,,,Government Building,,,,,Other,turned into widespread gang violence,http://www.punchng.com/news/violence-in-ede-over-killing-of-gang-leader/,,,7.620429993,4.440030098,"Ede South, Osun, Nigeria"
2448,"Police fire tear gas at Nigeria's legislators, who scale parliament fence after a lock-out",11/20/2014,,,Federal Capital Territory,0.0,,State Actor,,,,,,Election-related Actor,,,,,,,,,,,,0.0,,,,,,Other,,,Government Building,,,,,,,http://sunnewsonline.com/new/?p=91851,http://www.punchng.com/news/commotion-at-national-assembly/,http://nationalmirroronline.net/new/nassembly-shut/,8.906233788,7.189051151,", Federal Capital Territory, Nigeria"
2460,Explosion rocks Cross River PDP secretariat,11/24/2014,,Calabar Municipal,Cross River,0.0,,,,,,,,Election-related Actor,,,,,,,,,,,,0.0,,Bomb,,,,,,,Government Building,,,,,,,http://www.punchng.com/news/explosion-rocks-cross-river-pdp-secretariat/,http://news2.onlinenigeria.com/news/general/388666-bomb-blast-rocks-pdp-secretariat-in-cross-river.html,,4.976709843,8.336429596,"Calabar Municipal, Cross River, Nigeria"
2462,"Two policemen, others killed in Ekiti bank robbery",11/24/2014,,Ikere,Ekiti,4.0,,,,,,Robber,,,,,2.0,,,,,,,,2.0,,,,Gun,,,,,,Government Building,,,Bank,,,,http://nationalmirroronline.net/new/corps-member-policemen-killed-in-ekiti-bank-raid/,http://www.punchng.com/news/two-policemen-others-killed-in-ekiti-bank-robbery/,,7.520100117,5.222000122,"Ikere, Ekiti, Nigeria"
2483,"Boko Haram attacks Shani, kills many",11/29/2014,,Shani,Borno,40.0,Boko Haram,,,,,,,,,,,,,,,,,,40.0,,,Bomb,Gun,,,,,,Government Building,,,,,Other,"""scores killed""",http://www.punchng.com/news/boko-haram-attacks-shani-kills-many/,http://af.reuters.com/article/nigeriaNews/idAFL6N0TK0CG20141130?feedType=RSS&feedName=nigeriaNews,,10.21794987,12.06299019,"Shani, Borno, Nigeria"
2489,Scores dead as Boko Haram attacks Damaturu,12/1/2014,,Damaturu,Yobe,59.0,Boko Haram,State Actor,,,,,,,,20.0,39.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,Other,,http://www.punchng.com/news/bharam-invades-yobe-capital-targets-govt-house/,http://af.reuters.com/article/nigeriaNews/idAFL6N0TM32R20141202?feedType=RSS&feedName=nigeriaNews,,11.74440002,11.96255016,"Damaturu, Yobe, Nigeria"
2498,"Troops battle Boko Haram, as militants attack Gombe community",12/4/2014,Bajoga and Ashaka,Funakaye,Gombe,101.0,Boko Haram,State Actor,,,,,,,,67.0,10.0,,,,,,,,24.0,,,,Gun,,,Other,,,Government Building,,,Bank,,Other,"home to the Ashaka cement factory, where they stole explosives last month; ""dozens killed""",http://www.punchng.com/news/boko-haram-attacks-gombe-community/,http://www.premiumtimesng.com/news/top-news/172632-nigerian-military-kills-67-terrorists-gombe-town-counter-attack.html,http://dailytimes.com.ng/article/boko-haram-insurgents-raid-ashaka-cement-factory,10.84821033,11.43591976,"Funakaye, Gombe, Nigeria"
2499,"Thugs invade Ebonyi courts, molest judges and workers                                                ",12/5/2014,,Abakaliki,Ebonyi,0.0,,,,,,,,Election-related Actor,,,,,,,,,,,,0.0,,,,,,Other,,,Government Building,,,,,,,http://www.nigeriaintel.com/2014/12/05/thugs-invade-ebonyi-courts-molest-judges-and-workers/,http://www.dailytrust.com.ng/daily/news/41320-suspected-thugs-invade-ebonyi-court-disrupt-proceedings,,6.322869778,8.117070198,"Abakaliki, Ebonyi, Nigeria"
2516,"Boko Haram kills 35, abducts 185 near Chibok",12/14/2014,Gumsuri,Chibok,Borno,35.0,Boko Haram,,,,,,,,,,,,,,,185.0,,,35.0,,,Bomb,Gun,,,,,,Government Building,,,,,Other,,http://www.premiumtimesng.com/news/headlines/173491-boko-haram-kills-dozens-abducts-several-near-chibok.html,http://af.reuters.com/article/nigeriaNews/idAFL6N0U22PT20141218?feedType=RSS&feedName=nigeriaNews,http://www.punchng.com/news/bharam-abducts-185-children-women-near-chibok/,10.8685503,12.84770012,"Chibok, Borno, Nigeria"
2530,Boko Haram attacks Military base in Yobe,12/20/2014,Damagum,Fune,Yobe,0.0,Boko Haram,State Actor,,,,,,,,0.0,0.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,Other,,http://nationalmirroronline.net/new/boko-haram-attacks-military-base-in-yobe/,,,11.67708969,11.32668972,"Fune, Yobe, Nigeria"
2553,Two policemen arrested for Adamawa herdsmen’s death,12/26/2014,,Toungo,Adamawa,2.0,,State Actor,,,,,,,,,,2.0,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,policemen killed 2 Fulani youths after an argument over a bribe,http://www.punchng.com/news/two-policemen-arrested-for-adamawa-herdsmens-death/,http://www.premiumtimesng.com/regional/nnorth-east/173966-two-policemen-arrested-killing-herdsmen-adamawa.html,,8.11534977,12.04325008,"Toungo, Adamawa, Nigeria"
2556,Boko Haram militants attack Cameroonian military camp,12/28/2014,Achigachia ,,,,Boko Haram,State Actor,,,,,,,,,,,,,,,,,,,,Bomb,Gun,,,,,,Government Building,,,,,Other,BH attacked a military camp; casualties so far unknown,http://af.reuters.com/article/nigeriaNews/idAFL6N0UC0K220141228?feedType=RSS&feedName=nigeriaNews,http://www.naharnet.com/stories/en/160933-cameroon-bombs-boko-haram-positions-in-north-for-first-time,,5.68547678,12.7228775,"Achigachia, Cameroon"
2575,"Boko Haram attacks military base in Baga, Borno",1/3/2015,Baga,Kukawa,Borno,100.0,Boko Haram,State Actor,,,,,,,,,14.0,,,,,,,,86.0,,,Bomb,Gun,,,,,,Government Building,,,,,,,http://www.premiumtimesng.com/news/headlines/174260-update-civilians-soldiers-flee-boko-haram-takes-baga.html,http://af.reuters.com/article/nigeriaNews/idAFL6N0UN3LK20150108?feedType=RSS&feedName=nigeriaNews&pageNumber=2&virtualBrandChannel=0,http://www.punchng.com/news/14-soldiers-killed-during-baga-invasion-military/,12.92539978,13.55990028,"Kukawa, Borno, Nigeria"
2576,Another Yobe Town Attacked By Boko Haram,1/3/2015,Babbangida,Tarmuwa,Yobe,40.0,Boko Haram,State Actor,,,,,,,,,,,,,,,,,40.0,,,,Gun,,,,,,Government Building,,,,School,Other,"killed ""scores""",http://www.thisdaylive.com/articles/another-yobe-town-attacked-by-boko-haram/198376/,http://www.thisdaylive.com/articles/boko-haram-captures-baga-kills-scores-in-borno-yobe/198434/,,12.26379013,11.51231956,"Tarmuwa, Yobe, Nigeria"
2586,Damaturu under heavy Boko Haram attack,1/9/2015,,Damaturu,Yobe,10.0,Boko Haram,State Actor,,,,,,,,,,,,,,,,,10.0,,,Bomb,Gun,,,,,,Government Building,,Mosque,,,Other,more accurate casualty figures still to come,http://www.premiumtimesng.com/news/174596-update-damaturu-calm-after-heavy-boko-haram-attack.html,http://www.worldbulletin.net/news/152631/many-feared-dead-in-boko-haram-attack-on-nigerias-damaturu,http://news2.onlinenigeria.com/entertainment/celebrities/395123-damaturu-yobe-state-reportedly-under-heavy-bombardment-by-boko-haram.html,11.74440002,11.96255016,"Damaturu, Yobe, Nigeria"
